,,,,
CHECKLIST TÌM HIỂU VỀ KVM,,,,
STT,Nội dung,Mục tiêu,Tài liệu tham khảo,Ghi chú
1,Tìm hiểu về Ảo hóa,"- Ảo hóa là gì? 
- Có những loại ảo hóa nào? 
- Đặc điểm của từng loại ảo hóa?",,
2,Tìm hiểu KVM cơ bản,"- KVM là gì và để làm gì?
- KVM thuộc loại ảo hóa nào? 
- So sánh KVM với các loại hypervisor còn lại
- Các thành phần trong KVM
- Cách hoạt động
- Mối quan hệ của KVM với OS là như thế nào",,
3,Tìm hiểu các chế độ card mạng trong kvm,"- Có những chế độ card mạng nào trong KVM
- Đặc điểm từng loại",,
4,Tìm hiểu các định dạng file images,"- Cơ chế lưu trữ Thin-Thick
- Phân biệt được 3 định dạng: ISO, raw, qcow2
- Tính năng và ứng dụng của 3 loại định dạng trên trong kvm
- So sánh raw với qcow2 về : dung lượng, hiệu năng, snapshot
- Cách chuyển đổi giữa raw và qcow2",,
5,Tìm hiểu các công cụ thao tác với KVM,"- Sử dụng CLI Virsh, Virt-manager để thao tác với KVM và VM",,
6,Tìm hiểu các option khi tạo VM,"- Các option của CPU, Disk, NIC",,
7,Tìm hiểu các tính năng của KVM đối với các VM,"- Biết cách tạo, sửa, xóa, sao lưu, clone, snapshot, ...",,
8,Phân tích đường đi gói tin với 3 chế độ card mạng,"- Phân tích đường đi gói tin
- Biết được nó đi qua các point nào
- Vẽ layout
- Làm rõ đường đi gói tin khi sử dụng NAT
- Không tạo dải bridge thì VM có đi ra ngoài được không, nó sẽ đi đâu, đâu là thành phần cấp DHCP cho VM
- Switch ảo với card thật có liên quan gì với nhau",,
9,Tìm hiểu nơi lưu trữ máy ảo,"- máy ảo được lưu ở đâu
- mỗi thư mục của máy ảo có các file như thế nào
- làm rõ thông tin trong từng file.",,
10,Tìm hiểu về file XML trong KVM,"- Nắm được cơ bản về file XML của máy ảo, network,
- Tạo máy ảo, network mới bằng file XML
- chỉnh sửa cấu hình VM bằng file XML",,
11,Tìm hiểu các công nghệ liên quan tới KVM,"- tìm hiểu công nghệ về network: Linux bridge
- công nghệ về storage",,
12,Tìm hiểu virsh client,"- virsh client
- các option thông dụng của virsh command",,
13,Tìm hiểu kĩ thuật Mirage VM,"- Mirage VM
- cách restore lại 1 VM trong trường hợp máy ảo bị chết",,
